device,vlan name,switch:port number,tag
 IO038SW1-IC4,Students1,3:27,untagged
 IO038SW1-IC4,Students1,3:29,untagged
 IO038SW1-IC4,Students1,3:31,untagged
 IO038SW1-IC4,Students1,3:33,untagged
 IO038SW1-IC4,Students1,3:34,untagged
 IO038SW1-IC4,Students1,3:35,untagged
 IO038SW1-IC4,Students1,3:36,untagged
 IO038SW1-IC4,Students1,3:37,untagged
 IO038SW1-IC4,Students1,3:38,untagged
 IO038SW1-IC4,Students1,3:39,untagged
 IO038SW1-IC4,Students1,3:40,untagged
 IO038SW1-IC4,Students1,3:41,untagged
 IO038SW1-IC4,Students1,3:42,untagged
 IO038SW1-IC4,Students1,3:43,untagged
 IO038SW1-IC4,Students1,3:44,untagged
 IO038SW1-IC4,Students1,3:45,untagged
 IO038SW1-IC4,Students1,3:46,untagged
 IO038SW1-IC4,Students1,3:47,untagged
 IO038SW1-IC4,Students1,4:4,untagged
 IO038SW1-IC4,Students1,4:5,untagged
 IO038SW1-IC4,Students1,4:6,untagged
 IO038SW1-IC4,Students1,4:7,untagged
 IO038SW1-IC4,Students1,4:8,untagged
 IO038SW1-IC4,Students1,4:9,untagged
 IO038SW1-IC4,Students1,4:10,untagged
 IO038SW1-IC4,Students1,4:11,untagged
 IO038SW1-IC4,Students1,4:12,untagged
 IO038SW1-IC4,Students1,4:13,untagged
 IO038SW1-IC4,Students1,4:14,untagged
 IO038SW1-IC4,Students1,4:15,untagged
 IO038SW1-IC4,Students1,4:16,untagged
 IO038SW1-IC4,Students1,4:34,untagged
 IO038SW1-IC4,Students1,4:36,untagged
 IO038SW1-IC4,Students1,4:38,untagged
 IO038SW1-IC4,Students1,4:40,untagged
 IO038SW1-IC4,Students1,4:41,untagged
 IO038SW1-IC4,Students1,4:42,untagged
 IO038SW1-IC4,Students1,4:43,untagged
 IO038SW1-IC4,Students1,4:44,untagged
 IO038SW1-IC4,Video1,1:29,untagged
 IO038SW1-IC4,Video1,1:31,untagged
 IO038SW1-IC4,Video1,1:33,untagged
 IO038SW1-IC4,Video1,1:35,untagged
 IO038SW1-IC4,Video1,1:45,untagged
