device,vlan name,switch number,port number,tag
IO038SW1-IC1, staffwireless,1:54,tagged
IO038SW1-IC1, staffwireless,2:1,tagged
IO038SW1-IC1, staffwireless,2:2,tagged
IO038SW1-IC1, staffwireless,2:3,tagged
IO038SW1-IC1, staffwireless,2:5,tagged
IO038SW1-IC1, staffwireless,2:7,tagged
IO038SW1-IC1, staffwireless,2:9,tagged
IO038SW1-IC1, StaffWirelessDPI,1:54,tagged
IO038SW1-IC1, StaffWirelessDPI,2:1,tagged
IO038SW1-IC1, StaffWirelessDPI,2:2,tagged
IO038SW1-IC1, StaffWirelessDPI,2:3,tagged
IO038SW1-IC1, StaffWirelessDPI,2:5,tagged
IO038SW1-IC1, StaffWirelessDPI,2:7,tagged
IO038SW1-IC1, StaffWirelessDPI,2:9,tagged
IO038SW1-IC1, Streaming,1:54,tagged
IO038SW1-IC1, Streaming,2:1,tagged
IO038SW1-IC1, Streaming,2:2,tagged
IO038SW1-IC1, Streaming,2:3,tagged
IO038SW1-IC1, Streaming,2:5,tagged
IO038SW1-IC1, Streaming,2:7,tagged
IO038SW1-IC1, Streaming,2:9,tagged
IO038SW1-IC1, Students1,1:54,tagged
IO038SW1-IC1, Students1,1:2,untagged
IO038SW1-IC1, Students1,1:3,untagged
IO038SW1-IC1, Students1,1:4,untagged
IO038SW1-IC1, Students1,1:5,untagged
IO038SW1-IC1, Students1,1:6,untagged
IO038SW1-IC1, Students1,1:7,untagged
IO038SW1-IC1, Students1,1:8,untagged
IO038SW1-IC1, Students1,1:9,untagged
IO038SW1-IC1, Students1,1:10,untagged
IO038SW1-IC1, Students1,1:11,untagged
IO038SW1-IC1, Students1,1:12,untagged
IO038SW1-IC1, Students1,1:13,untagged
IO038SW1-IC1, Students1,1:14,untagged
IO038SW1-IC1, Students1,1:15,untagged
IO038SW1-IC1, Students1,1:16,untagged
IO038SW1-IC1, Students1,1:17,untagged
IO038SW1-IC1, Students1,1:18,untagged
IO038SW1-IC1, Students1,1:19,untagged
IO038SW1-IC1, Students1,1:20,untagged
IO038SW1-IC1, Students1,1:21,untagged
IO038SW1-IC1, Students1,1:22,untagged
IO038SW1-IC1, Students1,1:23,untagged
IO038SW1-IC1, Students1,1:24,untagged
IO038SW1-IC1, Students1,1:25,untagged
IO038SW1-IC1, Students1,1:26,untagged
IO038SW1-IC1, Students1,1:27,untagged
IO038SW1-IC1, Students1,1:28,untagged
IO038SW1-IC1, Students1,1:29,untagged
IO038SW1-IC1, Students1,1:30,untagged
IO038SW1-IC1, Students1,1:33,untagged
IO038SW1-IC1, Students1,1:35,untagged
IO038SW1-IC1, Students1,1:41,untagged
IO038SW1-IC1, Students1,1:48,untagged
IO038SW1-IC1, Students1,2:4,untagged
IO038SW1-IC1, Students1,2:6,untagged
IO038SW1-IC1, Students1,2:8,untagged
IO038SW1-IC1, Students1,2:10,untagged
IO038SW1-IC1, Students1,2:11,untagged
IO038SW1-IC1, Students1,2:12,untagged
IO038SW1-IC1, Students1,2:13,untagged
IO038SW1-IC1, Students1,2:14,untagged
IO038SW1-IC1, Students1,2:15,untagged
IO038SW1-IC1, Students1,2:16,untagged
IO038SW1-IC1, Students1,2:17,untagged
IO038SW1-IC1, Students1,2:18,untagged
IO038SW1-IC1, Students1,2:19,untagged
IO038SW1-IC1, Students1,2:20,untagged
IO038SW1-IC1, Students1,2:21,untagged
IO038SW1-IC1, Students1,2:22,untagged
IO038SW1-IC1, Students1,2:23,untagged
IO038SW1-IC1, Students1,2:24,untagged
IO038SW1-IC1, Students1,2:25,untagged
IO038SW1-IC1, Students1,2:26,untagged
IO038SW1-IC1, Students1,2:27,untagged
IO038SW1-IC1, Students1,2:28,untagged
IO038SW1-IC1, Students1,2:29,untagged
IO038SW1-IC1, Students1,2:30,untagged
IO038SW1-IC1, Students1,2:31,untagged
IO038SW1-IC1, Students1,2:32,untagged
IO038SW1-IC1, Students1,2:33,untagged
IO038SW1-IC1, Students1,2:34,untagged
IO038SW1-IC1, Students1,2:35,untagged
IO038SW1-IC1, Students1,2:36,untagged
IO038SW1-IC1, Students1,2:37,untagged
IO038SW1-IC1, Students1,2:38,untagged
IO038SW1-IC1, Students1,2:39,untagged
IO038SW1-IC1, Students1,2:40,untagged
IO038SW1-IC1, Students1,2:41,untagged
IO038SW1-IC1, Students1,2:42,untagged
IO038SW1-IC1, Students1,2:43,untagged
IO038SW1-IC1, Students1,2:44,untagged
IO038SW1-IC1, Students1,2:45,untagged
IO038SW1-IC1, Students1,2:46,untagged
IO038SW1-IC1, Students1,2:47,untagged
IO038SW1-IC1, Students2,1:54,tagged
IO038SW1-IC1, studentwireless,1:54,tagged
IO038SW1-IC1, studentwireless,2:1,tagged
IO038SW1-IC1, studentwireless,2:2,tagged
IO038SW1-IC1, studentwireless,2:3,tagged
IO038SW1-IC1, studentwireless,2:5,tagged
IO038SW1-IC1, studentwireless,2:7,tagged
IO038SW1-IC1, studentwireless,2:9,tagged
IO038SW1-IC1, StudentWirelessDPI,1:54,tagged
IO038SW1-IC1, StudentWirelessDPI,2:1,tagged
IO038SW1-IC1, StudentWirelessDPI,2:2,tagged
IO038SW1-IC1, StudentWirelessDPI,2:3,tagged
IO038SW1-IC1, StudentWirelessDPI,2:5,tagged
IO038SW1-IC1, StudentWirelessDPI,2:7,tagged
IO038SW1-IC1, StudentWirelessDPI,2:9,tagged
IO038SW1-IC1, Video1,1:54,tagged
IO038SW1-IC1, Video1,1:1,untagged
IO038SW1-IC1, Video1,1:31,untagged
IO038SW1-IC1, Video1,1:32,untagged
IO038SW1-IC1, Video1,1:34,untagged
IO038SW1-IC1, Video1,1:36,untagged
IO038SW1-IC1, Video1,1:37,untagged
IO038SW1-IC1, Video1,1:38,untagged
IO038SW1-IC1, Video1,1:39,untagged
IO038SW1-IC1, Video1,1:40,untagged
