device,vlan name,switch number,port numer,tag
IO038SW1-IC2, Students1,1:16,untagged
IO038SW1-IC2, Students1,1:17,untagged
IO038SW1-IC2, Students1,1:18,untagged
IO038SW1-IC2, Students1,1:19,untagged
IO038SW1-IC2, Students1,1:20,untagged
IO038SW1-IC2, Students1,1:21,untagged
IO038SW1-IC2, Students1,1:22,untagged
IO038SW1-IC2, Students1,1:23,untagged
IO038SW1-IC2, Students1,1:24,untagged
IO038SW1-IC2, Students1,1:25,untagged
IO038SW1-IC2, Students1,1:26,untagged
IO038SW1-IC2, Students1,1:27,untagged
IO038SW1-IC2, Students1,1:28,untagged
IO038SW1-IC2, Students1,1:29,untagged
IO038SW1-IC2, Students1,1:30,untagged
IO038SW1-IC2, Students1,1:31,untagged
IO038SW1-IC2, Students1,1:32,untagged
IO038SW1-IC2, Students1,1:34,untagged
IO038SW1-IC2, Students1,1:36,untagged
IO038SW1-IC2, Students1,1:38,untagged
IO038SW1-IC2, Students1,1:40,untagged
IO038SW1-IC2, Students1,2:3,untagged
IO038SW1-IC2, Students1,2:5,untagged
IO038SW1-IC2, Students1,2:6,untagged
IO038SW1-IC2, Students1,2:7,untagged
IO038SW1-IC2, Students1,2:8,untagged
IO038SW1-IC2, Students1,2:9,untagged
IO038SW1-IC2, Students1,2:10,untagged
IO038SW1-IC2, Students1,2:11,untagged
IO038SW1-IC2, Students1,2:13,untagged
IO038SW1-IC2, Students1,2:14,untagged
IO038SW1-IC2, Students1,2:15,untagged
IO038SW1-IC2, Students1,2:16,untagged
IO038SW1-IC2, Students1,2:17,untagged
IO038SW1-IC2, Students1,2:18,untagged
IO038SW1-IC2, Students1,2:19,untagged
IO038SW1-IC2, Students1,2:20,untagged
IO038SW1-IC2, Students1,2:22,untagged
IO038SW1-IC2, Students1,2:23,untagged
IO038SW1-IC2, Students1,2:24,untagged
IO038SW1-IC2, Students1,2:25,untagged
IO038SW1-IC2, Students1,2:26,untagged
IO038SW1-IC2, Students1,2:27,untagged
IO038SW1-IC2, Students1,2:28,untagged
IO038SW1-IC2, Students1,2:29,untagged
IO038SW1-IC2, Students1,2:30,untagged
IO038SW1-IC2, Students1,2:31,untagged
IO038SW1-IC2, Students1,2:32,untagged
IO038SW1-IC2, Students1,2:33,untagged
IO038SW1-IC2, Students1,2:34,untagged
IO038SW1-IC2, Students1,2:35,untagged
IO038SW1-IC2, Students1,2:36,untagged
IO038SW1-IC2, Students1,2:37,untagged
IO038SW1-IC2, Students1,2:38,untagged
IO038SW1-IC2, Students1,2:39,untagged
IO038SW1-IC2, Video1,1:1,untagged
IO038SW1-IC2, Video1,1:33,untagged
IO038SW1-IC2, Video1,1:35,untagged
IO038SW1-IC2, Video1,1:37,untagged
IO038SW1-IC2, Video1,1:39,untagged
IO038SW1-IC2, Video1,1:41,untagged
IO038SW1-IC2, Video1,2:2,untagged
IO038SW1-IC2, Video1,2:4,untagged
IO038SW1-IC2, Video1,2:12,untagged
IO038SW1-IC2, Video1,2:21,untagged
IO038SW1-IC2, Video1,2:40,untagged
IO038SW1-IC2, Video1,2:41,untagged
IO038SW1-IC2, Video1,2:42,untagged
IO038SW1-IC2, Video1,2:43,untagged
IO038SW1-IC2, Video1,2:44,untagged
IO038SW1-IC2, Video1,2:45,untagged
IO038SW1-IC2, Video1,2:46,untagged
IO038SW1-IC2, Video1,2:47,untagged
IO038SW1-IC2, Video1,3:15,untagged
IO038SW1-IC2, Video1,3:27,untagged
IO038SW1-IC2, Video1,3:28,untagged
IO038SW1-IC2, Video1,3:39,untagged
IO038SW1-IC2, Video1,3:40,untagged
IO038SW1-IC2, Video1,3:41,untagged
